;"Temp Consigna clima";"Temp aigua retorn Clima";"Temp aigua impulsió Clima"
"Ma 16:55";55;26;27
"Ma 17:00";55;26;27
"Ma 17:05";55;26;27
"Ma 17:10";55;26;27
"Ma 17:15";55;26;27
"Ma 17:20";55;26;27
"Ma 17:25";55;26;26
"Ma 17:30";55;26;26
"Ma 17:35";55;26;26
"Ma 17:40";55;25,4;26
"Ma 17:45";55;25;26
"Ma 17:50";55;25;26
"Ma 17:55";55;25;26
"Ma 18:00";55;25;26
"Ma 18:05";55;25;26
"Ma 18:10";55;25;26
"Ma 18:15";55;25;26
"Ma 18:20";55;25;26
"Ma 18:25";55;25;26
"Ma 18:30";55;25;25
"Ma 18:35";55;25;25
"Ma 18:40";55;25;25
"Ma 18:45";55;25;25
"Ma 18:50";55;25;25
"Ma 18:55";55;25;25
"Ma 19:00";55;24,8;25
"Ma 19:05";55;24;25
"Ma 19:10";55;24;25
"Ma 19:15";55;24;25
"Ma 19:20";55;24;25
"Ma 19:25";55;24;25
"Ma 19:30";55;24;25
"Ma 19:35";55;24;25
"Ma 19:40";55;24;25
"Ma 19:45";55;24;25
"Ma 19:50";55;24;24
"Ma 19:55";55;24;24
"Ma 20:00";55;24;24
"Ma 20:05";55;24;24
"Ma 20:10";55;24;24
"Ma 20:15";55;24;24
"Ma 20:20";55;24;24
"Ma 20:25";55;24;24
"Ma 20:30";55;24;24
"Ma 20:35";55;24;24
"Ma 20:40";55;24;24
"Ma 20:45";55;23,8;24
"Ma 20:50";55;23;24
"Ma 20:55";55;23;24
"Ma 21:00";55;23;24
"Ma 21:05";55;23;24
"Ma 21:10";55;23;24
"Ma 21:15";55;23;24
"Ma 21:20";55;23;24
"Ma 21:25";55;23;24
"Ma 21:30";55;23;23
"Ma 21:35";55;23;23
"Ma 21:40";55;23;23
"Ma 21:45";55;23;23
"Ma 21:50";55;23;23
"Ma 21:55";55;23;23
"Ma 22:00";55;23;23
"Ma 22:05";55;23;23
"Ma 22:10";55;23;23
"Ma 22:15";55;23;23
"Ma 22:20";55;22,6;23
"Ma 22:25";55;22,4;23
"Ma 22:30";55;22;23
"Ma 22:35";55;22;23
"Ma 22:40";55;22;23
"Ma 22:45";55;22;23
"Ma 22:50";55;22;23
"Ma 22:55";55;22;23
"Ma 23:00";55;22;22
"Ma 23:05";55;22;22
"Ma 23:10";55;22;22
"Ma 23:15";55;22;22
"Ma 23:20";55;22;22
"Ma 23:25";55;22;22
"Ma 23:30";55;22;22
"Ma 23:35";55;22;22
"Ma 23:40";55;22;22
"Ma 23:45";55;22;22
"Ma 23:50";55;22;22
"Ma 23:55";55;22;22
"Mi 00:00";55;22;22
"Mi 00:05";55;22;22
"Mi 00:10";55;22;22
"Mi 00:15";55;22;22
"Mi 00:20";55;22;22
"Mi 00:25";55;22;22
"Mi 00:30";55;22;22
"Mi 00:35";55;22;22
"Mi 00:40";55;22;22
"Mi 00:45";55;22;22
"Mi 00:50";55;22;22
"Mi 00:55";55;22;22
"Mi 01:00";55;22;22
"Mi 01:05";55;22;22
"Mi 01:10";55;22;22
"Mi 01:15";55;22;22
"Mi 01:20";55;22;22
"Mi 01:25";55;22;22
"Mi 01:30";55;22;22
"Mi 01:35";55;22;22
"Mi 01:40";55;22;22
"Mi 01:45";55;22;22
"Mi 01:50";55;22;22
"Mi 01:55";55;22;22
"Mi 02:00";55;22;22
"Mi 02:05";55;22;22
"Mi 02:10";55;22;22
"Mi 02:15";55;21,4;22
"Mi 02:20";55;21;22
"Mi 02:25";55;21;22
"Mi 02:30";55;21;21
"Mi 02:35";55;21;21
"Mi 02:40";55;21;21
"Mi 02:45";55;21;21
"Mi 02:50";55;21;21
"Mi 02:55";55;21;21
"Mi 03:00";55;21;21
"Mi 03:05";55;21;21
"Mi 03:10";55;21;21
"Mi 03:15";55;21;21
"Mi 03:20";55;21;21
"Mi 03:25";55;21;21
"Mi 03:30";55;21;21
"Mi 03:35";55;21;21
"Mi 03:40";55;21;21
"Mi 03:45";55;21;21
"Mi 03:50";55;21;21
"Mi 03:55";55;21;21
"Mi 04:00";55;21;21
"Mi 04:05";55;21;21
"Mi 04:10";55;21;21
"Mi 04:15";55;21;21
"Mi 04:20";55;21;21
"Mi 04:25";55;21;21
"Mi 04:30";55;21;21
"Mi 04:35";55;21;21
"Mi 04:40";55;21;21
"Mi 04:45";55;21;21
"Mi 04:50";55;21;21
"Mi 04:55";55;21;21
"Mi 05:00";55;21;21
"Mi 05:05";55;21;21
"Mi 05:10";55;21;21
"Mi 05:15";55;21;21
"Mi 05:20";55;21;21
"Mi 05:25";55;21;21
"Mi 05:30";55;21;21
"Mi 05:35";55;40,8;40
"Mi 05:40";55;35;38
"Mi 05:45";55;34,4;39
"Mi 05:50";55;35,4;40
"Mi 05:55";55;36,6;41
"Mi 06:00";55;37,4;42
"Mi 06:05";55;38,6;43
"Mi 06:10";55;39,6;44
"Mi 06:15";55;40,6;45
"Mi 06:20";55;41;46
"Mi 06:25";55;42;46
"Mi 06:30";55;42,4;47
"Mi 06:35";55;43;48
"Mi 06:40";55;44;48
"Mi 06:45";55;44,2;49
"Mi 06:50";55;45;49
"Mi 06:55";55;45;50
"Mi 07:00";55;45,8;50
"Mi 07:05";55;46;51
"Mi 07:10";55;46,4;51
"Mi 07:15";55;47;51
"Mi 07:20";55;47;52
"Mi 07:25";55;47;52
"Mi 07:30";55;47,6;52
"Mi 07:35";55;48;52
"Mi 07:40";55;48;52
"Mi 07:45";55;48;53
"Mi 07:50";55;48;53
"Mi 07:55";55;49;53
"Mi 08:00";55;49;53
"Mi 08:05";55;49;53
"Mi 08:10";55;49;54
"Mi 08:15";55;49;54
"Mi 08:20";55;49;54
"Mi 08:25";55;49,2;55
"Mi 08:30";55;50;55
"Mi 08:35";55;50;55
"Mi 08:40";55;50;55
"Mi 08:45";55;50,4;55
"Mi 08:50";55;51;55
"Mi 08:55";55;51;55
"Mi 09:00";55;51;55
"Mi 09:05";55;51;56
"Mi 09:10";55;51;56
"Mi 09:15";55;51;56
"Mi 09:20";55;51,6;56
"Mi 09:25";55;51,8;55
"Mi 09:30";55;51;55
"Mi 09:35";55;51;55
"Mi 09:40";55;51;55
"Mi 09:45";55;51;55
"Mi 09:50";55;51;55
"Mi 09:55";55;50;55
"Mi 10:00";55;50;55
"Mi 10:05";55;48,2;51
"Mi 10:10";55;47;50
"Mi 10:15";55;46,6;49
"Mi 10:20";55;46;49
"Mi 10:25";55;45,2;48
"Mi 10:30";55;45;47
"Mi 10:35";55;44;47
"Mi 10:40";55;43,6;46
"Mi 10:45";55;43;46
"Mi 10:50";55;42,6;45
"Mi 10:55";55;42;45
"Mi 11:00";55;41,2;44
"Mi 11:05";55;41;44
"Mi 11:10";55;41;44
"Mi 11:15";55;40,4;43
"Mi 11:20";55;40;43
"Mi 11:25";55;39,4;42
"Mi 11:30";55;39;42
"Mi 11:35";55;38,6;41
"Mi 11:40";55;38;41
"Mi 11:45";55;37,8;41
"Mi 11:50";55;37;40
"Mi 11:55";55;37;40
"Mi 12:00";55;37;40
"Mi 12:05";55;36,6;39
"Mi 12:10";55;36;39
"Mi 12:15";55;36;38
"Mi 12:20";55;35,4;38
"Mi 12:25";55;35;38
"Mi 12:30";55;35;37
"Mi 12:35";55;35;37
"Mi 12:40";55;34,4;37
"Mi 12:45";55;34;37
"Mi 12:50";55;34;36
"Mi 12:55";55;33,6;36
"Mi 13:00";55;33;36
"Mi 13:05";55;33;35
"Mi 13:10";55;33;35
"Mi 13:15";55;33;35
"Mi 13:20";55;33;35
"Mi 13:25";55;32,4;35
"Mi 13:30";55;32;34
"Mi 13:35";55;32;34
"Mi 13:40";55;32;34
"Mi 13:45";55;31,6;33
"Mi 13:50";55;31;33
"Mi 13:55";55;31;33
"Mi 14:00";55;31;33
"Mi 14:05";55;31;33
"Mi 14:10";55;31;33
"Mi 14:15";55;31;32
"Mi 14:20";55;30,2;32
"Mi 14:25";55;30;32
"Mi 14:30";55;30;32
"Mi 14:35";55;30;31
"Mi 14:40";55;30;31
"Mi 14:45";55;29,4;31
"Mi 14:50";55;29;31
"Mi 14:55";55;29;31
"Mi 15:00";55;29;31
"Mi 15:05";55;29;31
"Mi 15:10";55;29;30
"Mi 15:15";55;29;30
"Mi 15:20";55;29;30
"Mi 15:25";55;29;30
"Mi 15:30";55;28,2;30
"Mi 15:35";55;28;29
"Mi 15:40";55;28;29
"Mi 15:45";55;28;29
"Mi 15:50";55;28;29
"Mi 15:55";55;28;29
"Mi 16:00";55;28;29
"Mi 16:05";55;28;29
"Mi 16:10";55;28;29
"Mi 16:15";55;28;29
"Mi 16:20";55;27,2;28
"Mi 16:25";55;27;28
"Mi 16:30";55;27;28
"Mi 16:35";55;27;28
"Mi 16:40";55;27;28
"Mi 16:45";55;27;28
"Mi 16:50";55;27;28
"Mi 16:55";55;27;28
"Mi 17:00";55;26,2;28
"Mi 17:05";55;26;28
"Mi 17:10";55;26;27
"Mi 17:15";55;26;27
"Mi 17:20";55;26;27
"Mi 17:25";55;26;27
"Mi 17:30";55;26;27
"Mi 17:35";55;26;27
"Mi 17:40";55;26;27
"Mi 17:45";55;26;26
"Mi 17:50";55;26;26
"Mi 17:55";55;26;26
"Mi 18:00";55;26;26
"Mi 18:05";55;26;26
